step,action_mse,coverage,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
75000,0.048133011907339096,0.022976934676989913,0.0037575140595436096,0.039580363780260086,0.04440798982977867,0.045284006744623184,0.04603608325123787,0.053786683827638626,0.05321662500500679,0.05353474244475365,0.04921760410070419,159.87981486320496
80000,0.05038918927311897,0.023881683824583888,0.004209674894809723,0.03843385726213455,0.04330570995807648,0.04754907637834549,0.049201130867004395,0.05627095326781273,0.057284727692604065,0.0579957589507103,0.05307227373123169,159.9354977607727
85000,0.05468687787652016,0.030501524219289422,0.00447431206703186,0.039434004575014114,0.04603380709886551,0.050644926726818085,0.05695877969264984,0.06304465979337692,0.06293550133705139,0.06063620746135712,0.057807113975286484,161.04572200775146
90000,0.0515420138835907,0.027370493626222014,0.004484012722969055,0.036320559680461884,0.041962750256061554,0.04448724165558815,0.04925856739282608,0.059550054371356964,0.062314167618751526,0.061430901288986206,0.05701187625527382,159.90026831626892
95000,0.05879770964384079,0.03521586116403341,0.00614330917596817,0.041036784648895264,0.048530712723731995,0.05508890748023987,0.05897143483161926,0.0693087950348854,0.06898114830255508,0.06732788681983948,0.061136022210121155,159.69414472579956
100000,0.05565524101257324,0.033535567577928305,0.003995291888713837,0.04145517572760582,0.048691049218177795,0.05149542912840843,0.055337898433208466,0.06480240076780319,0.06383833289146423,0.06280896067619324,0.05681268870830536,159.32193779945374
105000,0.056681547313928604,0.03542595519684255,0.004065252840518951,0.041220683604478836,0.049213845282793045,0.053538717329502106,0.056245021522045135,0.06567814201116562,0.06475447118282318,0.06376801431179047,0.05903347581624985,159.9593150615692
110000,0.057787925004959106,0.0355170383118093,0.0038613826036453247,0.039619702845811844,0.049784839153289795,0.05458606034517288,0.059896208345890045,0.06950992345809937,0.06624840199947357,0.06318946182727814,0.059468794614076614,160.00572276115417
115000,0.05761687085032463,0.035599999129772186,0.004516936838626862,0.039071280509233475,0.04961121082305908,0.05451488494873047,0.057856813073158264,0.06753295660018921,0.06849049031734467,0.06563960760831833,0.05821772292256355,159.10620427131653
120000,0.05381450057029724,0.03380059893243015,0.004040054976940155,0.03823623061180115,0.04472058266401291,0.04845871403813362,0.05317579209804535,0.06444229930639267,0.06411484628915787,0.06110917031764984,0.056258365511894226,160.27361297607422
