step,n_success,n,success_rate,ci95_low,ci95_high,t_success_median,elapsed_sec
22400,44,50,0.88,0.7619492111337642,0.9438247628937535,105.5,277.4394907951355
22600,45,50,0.9,0.7863950966521162,0.956524876008429,111.0,276.8536739349365
22800,43,50,0.86,0.738135428014719,0.9304925473797714,109.0,287.5918529033661
23000,48,50,0.96,0.8653966212204534,0.9889613473391734,104.0,238.7543113231659
23200,48,50,0.96,0.8653966212204534,0.9889613473391734,107.0,241.92303800582886
23400,45,50,0.9,0.7863950966521162,0.956524876008429,104.0,263.1850628852844
23600,45,50,0.9,0.7863950966521162,0.956524876008429,111.0,279.01925921440125
23800,44,50,0.88,0.7619492111337642,0.9438247628937535,106.5,274.487676858902
24000,47,50,0.94,0.8378265662912299,0.9793854036353695,105.0,254.14275884628296
24200,45,50,0.9,0.7863950966521162,0.956524876008429,106.0,267.81605982780457
24400,43,50,0.86,0.738135428014719,0.9304925473797714,101.0,285.21152567863464
24600,46,50,0.92,0.8116149745493629,0.9684509967442093,106.0,263.50838112831116
24800,48,50,0.96,0.8653966212204534,0.9889613473391734,105.0,250.74785614013672
25000,46,50,0.92,0.8116149745493629,0.9684509967442093,108.0,268.040522813797
25200,44,50,0.88,0.7619492111337642,0.9438247628937535,104.0,271.9527909755707
25400,45,50,0.9,0.7863950966521162,0.956524876008429,106.0,279.93325209617615
25600,47,50,0.94,0.8378265662912299,0.9793854036353695,106.0,249.23223900794983
25800,44,50,0.88,0.7619492111337642,0.9438247628937535,105.0,289.32815408706665
26000,43,50,0.86,0.738135428014719,0.9304925473797714,104.0,276.154079914093
26200,46,50,0.92,0.8116149745493629,0.9684509967442093,105.0,261.62419986724854
26400,47,50,0.94,0.8378265662912299,0.9793854036353695,111.0,257.6673309803009
26600,44,50,0.88,0.7619492111337642,0.9438247628937535,106.0,1358.573903799057
26800,44,50,0.88,0.7619492111337642,0.9438247628937535,104.5,292.85061287879944
27000,45,50,0.9,0.7863950966521162,0.956524876008429,104.0,267.3467049598694
27200,47,50,0.94,0.8378265662912299,0.9793854036353695,105.0,249.40572905540466
27400,45,50,0.9,0.7863950966521162,0.956524876008429,106.0,267.3607621192932
27600,46,50,0.92,0.8116149745493629,0.9684509967442093,107.0,256.546245098114
27800,47,50,0.94,0.8378265662912299,0.9793854036353695,103.0,247.55966639518738
28000,50,50,1.0,0.9286499658256813,1.0,106.0,228.61432194709778
28200,45,50,0.9,0.7863950966521162,0.956524876008429,105.0,261.81979179382324
28400,45,50,0.9,0.7863950966521162,0.956524876008429,103.0,265.1782908439636
28600,47,50,0.94,0.8378265662912299,0.9793854036353695,106.0,248.50633692741394
28800,47,50,0.94,0.8378265662912299,0.9793854036353695,105.0,244.37091612815857
29000,48,50,0.96,0.8653966212204534,0.9889613473391734,107.5,243.3626410961151
29200,45,50,0.9,0.7863950966521162,0.956524876008429,105.0,266.43483090400696
29400,45,50,0.9,0.7863950966521162,0.956524876008429,105.0,263.5447368621826
29600,46,50,0.92,0.8116149745493629,0.9684509967442093,107.0,253.56262302398682
29800,50,50,1.0,0.9286499658256813,1.0,102.0,216.4090747833252
30000,45,50,0.9,0.7863950966521162,0.956524876008429,106.0,257.0963897705078
