  ep 81/100 : ✓ t_succ= 43 max_z=0.840 hold=1.00 | running=100%
  ep 82/100 : ✓ t_succ= 52 max_z=0.841 hold=1.00 | running=100%
  ep 83/100 : ✓ t_succ= 45 max_z=0.840 hold=1.00 | running=100%
  ep 84/100 : ✓ t_succ= 51 max_z=0.843 hold=1.00 | running=100%
  ep 85/100 : ✓ t_succ= 44 max_z=0.841 hold=1.00 | running=100%
  ep 86/100 : ✓ t_succ= 45 max_z=0.841 hold=1.00 | running=100%
  ep 87/100 : ✓ t_succ= 44 max_z=0.843 hold=1.00 | running=100%
  ep 88/100 : ✓ t_succ= 46 max_z=0.838 hold=1.00 | running=100%
  ep 89/100 : ✓ t_succ= 46 max_z=0.837 hold=1.00 | running=100%
  ep 90/100 : ✓ t_succ= 71 max_z=0.843 hold=1.00 | running=100%
  ep 91/100 : ✓ t_succ= 44 max_z=0.841 hold=1.00 | running=100%
  ep 92/100 : ✓ t_succ= 48 max_z=0.840 hold=1.00 | running=100%
  ep 93/100 : ✓ t_succ= 43 max_z=0.838 hold=1.00 | running=100%
  ep 94/100 : ✓ t_succ= 48 max_z=0.840 hold=1.00 | running=100%
  ep 95/100 : ✓ t_succ= 68 max_z=0.841 hold=1.00 | running=100%
  ep 96/100 : ✓ t_succ= 40 max_z=0.838 hold=1.00 | running=100%
  ep 97/100 : ✓ t_succ= 59 max_z=0.839 hold=1.00 | running=100%
  ep 98/100 : ✓ t_succ= 47 max_z=0.839 hold=1.00 | running=100%
  ep 99/100 : ✓ t_succ= 43 max_z=0.837 hold=1.00 | running=100%
  ep 100/100 : ✓ t_succ=103 max_z=0.839 hold=1.00 | running=100%
FINAL 100.0%
